Time,Heat value
10/12/21 7:25,2111.3545
10/12/21 7:30,2063.6294
10/12/21 7:35,2025.283
10/12/21 7:40,1997.818
10/12/21 7:45,1985.0472
10/12/21 7:50,1970.3143
10/12/21 7:55,1959.7845
10/12/21 8:00,1947.5001
10/12/21 8:05,1938.95
10/12/21 8:10,1930.8446
10/12/21 8:15,2085.567
10/12/21 8:20,2328.2224
10/12/21 8:25,2560.8948
10/12/21 8:30,2662.526
10/12/21 8:35,2669.0203
10/12/21 8:40,2674.2017
10/12/21 8:45,2690.1985
10/12/21 8:50,2742.3298
10/12/21 8:55,2737.9517
10/12/21 9:00,2676.2415
10/12/21 9:05,2610.3406
10/12/21 9:10,2576.8135
10/12/21 9:15,
10/12/21 9:20,
10/12/21 9:25,
10/12/21 9:30,2188.7966
10/12/21 9:35,2137.1953
10/12/21 9:40,2119.2896
10/12/21 9:45,2115.4736
10/12/21 9:50,2111.451
10/12/21 9:55,2069.479
10/12/21 10:00,2032.2002
10/12/21 10:05,2000.273
10/12/21 10:10,1970.2416
10/12/21 10:15,2027.032
10/12/21 10:20,2097.8086
10/12/21 10:25,2102.781
10/12/21 10:30,2074.5762
10/12/21 10:35,2040.2926
10/12/21 10:40,2005.5172
10/12/21 10:45,1986.3965
10/12/21 10:50,1954.5657
10/12/21 10:55,1909.7858
10/12/21 11:00,1866.8411
10/12/21 11:05,1839.2822
10/12/21 11:10,1841.3651
10/12/21 11:15,1830.6519
10/12/21 11:20,1806.8296
10/12/21 11:25,1780.0974
10/12/21 11:30,1753.7675
10/12/21 11:35,1725.0913
10/12/21 11:40,1803.1503
10/12/21 11:45,1933.5848
10/12/21 11:50,1886.7715
10/12/21 11:55,1854.6377
10/12/21 12:00,1821.1371
10/12/21 12:05,1797.4849
10/12/21 12:10,1778.5713
10/12/21 12:15,1772.2794
10/12/21 12:20,1800.6075
10/12/21 12:25,1950.982
10/12/21 12:30,2072.4707
10/12/21 12:35,2156.8245
10/12/21 12:40,2155.3127
10/12/21 12:45,2114.5056
10/12/21 12:50,2081.3228
10/12/21 12:55,2066.165
10/12/21 13:00,2077.3064
10/12/21 13:05,2094.6545
10/12/21 13:10,2105.8257
10/12/21 13:15,2114.281
10/12/21 13:20,2158.7793
10/12/21 13:25,2227.2542
10/12/21 13:30,2170.6646
10/12/21 13:35,2115.7786
10/12/21 13:40,2075.348
10/12/21 13:45,2049.9597
10/12/21 13:50,2017.6112
10/12/21 13:55,1998.2808
10/12/21 14:00,1990.8059
10/12/21 14:05,2000.142
10/12/21 14:10,2017.8107
10/12/21 14:15,2043.6084
10/12/21 14:20,2057.943
10/12/21 14:25,2046.098
10/12/21 14:30,2032.9961
10/12/21 14:35,2016.797
10/12/21 14:40,2001.7169
10/12/21 14:45,1997.9172
10/12/21 14:50,1969.6976
10/12/21 14:55,1924.8983
10/12/21 15:00,1893.6218
10/12/21 15:05,1912.5911
10/12/21 15:10,1949.1428
10/12/21 15:15,1971.5284
10/12/21 15:20,1991.1335
10/12/21 15:25,1992.7075
10/12/21 15:30,1998.1304
10/12/21 15:35,1994.9401
10/12/21 15:40,2036.2819
10/12/21 15:45,2091.0557
10/12/21 15:50,2057.6418
10/12/21 15:55,2027.0248
10/12/21 16:00,1996.9739
10/12/21 16:05,1966.0398
10/12/21 16:10,1964.1576
10/12/21 16:15,2081.2976
10/12/21 16:20,2196.102
10/12/21 16:25,2156.5686
10/12/21 16:30,2119.9338
10/12/21 16:35,2079.8186
10/12/21 16:40,2036.8855
10/12/21 16:45,1993.6442
10/12/21 16:50,1970.7723
10/12/21 16:55,1965.4965
10/12/21 17:00,1968.3298
10/12/21 17:05,1975.7172
10/12/21 17:10,1997.9156
10/12/21 17:15,2012.7792
10/12/21 17:20,2031.1626
10/12/21 17:25,2065.415
10/12/21 17:30,2144.0308
10/12/21 17:35,2216.8315
10/12/21 17:40,2201.5918
10/12/21 17:45,2164.6772
10/12/21 17:50,2127.7705
10/12/21 17:55,2111.0752
10/12/21 18:00,2144.9304
10/12/21 18:05,2159.669
10/12/21 18:10,2130.532
10/12/21 18:15,2114.446
10/12/21 18:20,2114.4187
10/12/21 18:25,2131.9207
10/12/21 18:30,2153.4944
10/12/21 18:35,2167.4258
10/12/21 18:40,2196.0784
10/12/21 18:45,2248.7844
10/12/21 18:50,2257.6394
10/12/21 18:55,2235.5024
10/12/21 19:00,2219.688
10/12/21 19:05,2214.1777
10/12/21 19:10,2219.2224
10/12/21 19:15,2216.179
10/12/21 19:20,2221.654
10/12/21 19:25,2235.1506
10/12/21 19:30,2246.081
10/12/21 19:35,2255.7024
10/12/21 19:40,2261.785
10/12/21 19:45,2316.8394
10/12/21 19:50,2337.5894
10/12/21 19:55,2281.1184
10/12/21 20:00,2224.916
10/12/21 20:05,2180.259
10/12/21 20:10,2134.6045
10/12/21 20:15,2093.7341
10/12/21 20:20,2053.0886
10/12/21 20:25,2048.2976
10/12/21 20:30,2054.8528
10/12/21 20:35,2057.4517
10/12/21 20:40,2061.4604
10/12/21 20:45,2084.7888
10/12/21 20:50,2125.468
10/12/21 20:55,2070.533
10/12/21 21:00,2017.2281
10/12/21 21:05,1969.9922
10/12/21 21:10,1972.1166
10/12/21 21:15,1974.1052
10/12/21 21:20,1972.1655
10/12/21 21:25,1980.9231
10/12/21 21:30,1982.7067
10/12/21 21:35,2084.081
10/12/21 21:40,2092.756
10/12/21 21:45,2055.5464
10/12/21 21:50,2029.9204
10/12/21 21:55,2032.9539
10/12/21 22:00,2033.4194
10/12/21 22:05,2028.2028
10/12/21 22:10,2047.4443
10/12/21 22:15,2072.8853
10/12/21 22:20,2097.151
10/12/21 22:25,2117.6094
10/12/21 22:30,2169.1409
10/12/21 22:35,2234.6633
10/12/21 22:40,2240.4324
10/12/21 22:45,2224.5574
10/12/21 22:50,2208.2773
10/12/21 22:55,2205.4973
10/12/21 23:00,2199.1475
10/12/21 23:05,2203.15
10/12/21 23:10,2215.6284
10/12/21 23:15,2228.6423
10/12/21 23:20,2237.8767
10/12/21 23:25,2243.306
10/12/21 23:30,2279.7017
10/12/21 23:35,2283.081
10/12/21 23:40,2231.2761
10/12/21 23:45,2181.4778
10/12/21 23:50,2162.5408
10/12/21 23:55,2146.9507
10/13/21 0:00,2129.0786
10/13/21 0:05,2119.2036
10/13/21 0:10,2145.7622
10/13/21 0:15,2205.395
10/13/21 0:20,2263.1428
10/13/21 0:25,2263.6606
10/13/21 0:30,2253.7532
10/13/21 0:35,2220.3525
10/13/21 0:40,2182.9941
10/13/21 0:45,2148.0483
10/13/21 0:50,2116.5256
10/13/21 0:55,2098.1646
10/13/21 1:00,2168.0813
10/13/21 1:05,2230.5215
10/13/21 1:10,2259.2292
10/13/21 1:15,2254.6907
10/13/21 1:20,2248.9766
10/13/21 1:25,2252.04
10/13/21 1:30,2267.791
10/13/21 1:35,2270.4468
10/13/21 1:40,2215.389
10/13/21 1:45,2156.773
10/13/21 1:50,2109.0767
10/13/21 1:55,2124.2493
